text,label
"Продолговатый и твёрдый овал,Чёрного платья раструбы…Юная бабушка! Кто целовалВаши надменные губы?Руки, которые в залах дворцаВальсы Шопена играли…По сторонам ледяного лицаЛоконы, в виде спирали.Тёмный, прямой и взыскательный взгляд.Взгляд, к обороне готовый.Юные женщины так не глядят.Юная бабушка, кто вы?Сколько возможностей вы унесли,И невозможностей — сколько? —В ненасытимую прорву земли,Двадцатилетняя полька!День был невинен, и ветер был свеж.Тёмные звёзды погасли.— Бабушка! Этот жестокий мятежВ сердце моём — не от Вас ли?..4 сентября 1914",cvetaeva
"В темной гостиной одиннадцать бьет.
Что-то сегодня приснится?
Мама-шалунья уснуть не дает!
Эта мама совсем баловница!

Сдернет, смеясь, одеяло с плеча,
(Плакать смешно и стараться!)
Дразнит, пугает, смешит, щекоча
Полусонных сестрицу и братца.

Косу опять распустила плащом,
Прыгает, точно не дама...
Детям она не уступит ни в чем,
Эта странная девочка-мама!

Скрыла сестренка в подушке лицо,
Глубже ушла в одеяльце,
Мальчик без счета целует кольцо
Золотое у мамы на пальце...",cvetaeva
"По богемским городам
Что бормочет барабан?
– Сдан – сдан-сдан
Край – без славы, край – без бою.
Лбы – под серою золою
Дум-дум-дум?
– Бум!
Бум!
Бум!

По богемским городам –
Или то не барабан
(Горы ропщут? Камни шепчут?)
А в сердцах смиренных чешских-
Гне – ва
Гром:
– Где
Мой
Дом?

По усопшим городам
Возвещает барабан:
– Вран! Вран! Вран
Завелся в Градчанском замке!
В ледяном окне – как в рамке
(Бум! бум! бум!)
Гунн!
Гунн!
Гунн!

30 марта 1939",cvetaeva
"Башенный бой
Где-то в Кремле.
Где на земле,
Где –

Крепость моя,
Кротость моя,
Доблесть моя,
Святость моя.

Башенный бой.
Брошенный бой.
Где на земле –
Мой
Дом,
Мой – сон,
Мой – смех,
Мой – свет,
Узких подошв – след.

Точно рукой
Сброшенный в ночь –
Бой.

– Брошенный мой!

Май 1921",cvetaeva
"Без зова, без слова, –
Как кровельщик падает с крыш.
А может быть, снова
Пришел, – в колыбели лежишь?

Горишь и не меркнешь,
Светильник немногих недель?
Какая из смертных
Качает твою колыбель?

Блаженная тяжесть!
Пророческий певчий камыш!
О, кто мне расскажет,
В какой колыбели лежишь?

«Покамест не продан!»
Лишь с ревностью этой в уме,
Великим обходом
Пойду по российской земле.

Полночные страны
Пройду из конца и в конец.
Где рот-его-рана,
Очей синеватый свинец?

Схватить его! Крепче!
Любить и любить его лишь!
О, кто мне нашепчет,
В какой колыбели лежишь?

Жемчужные зерна,
Кисейная сонная сень.
Не лавром, а тёрном –
Чепца острозубая тень.

Не полог, а птица
Раскрыла два белых крыла!
– И снова родиться,
Чтоб снова метель замела?!

Рвануть его! Выше!
Держать! Не отдать его лишь!
О, кто мне надышит,
В какой колыбели лежишь?

А может быть, ложен
Мой подвиг, и даром – труды.
Как в землю положен,
Быть может, – проспишь до трубы.

Огромную впалость
Висков твоих – вижу опять.
Такую усталость –
Ее и трубой не поднять!

Державная пажить,
Надежная, ржавая тишь.
Мне сторож покажет,
В какой колыбели лежишь.

22 ноября 1921",cvetaeva
"Безнадежно-взрослый Вы? О, нет!
Вы дитя и Вам нужны игрушки,
Потому я и боюсь ловушки,
Потому и сдержан мой привет.
Безнадежно-взрослый Вы? О, нет!

Вы дитя, а дети так жестоки:
С бедной куклы рвут, шутя, парик,
Вечно лгут и дразнят каждый миг,
В детях рай, но в детях все пороки, –
Потому надменны эти строки.

Кто из них доволен дележом?
Кто из них не плачет после елки?
Их слова неумолимо-колки,
В них огонь, зажженный мятежом.
Кто из них доволен дележом?

Есть, о да, иные дети – тайны,
Темный мир глядит из темных глаз.
Но они отшельники меж нас,
Их шаги по улицам случайны.
Вы – дитя. Но все ли дети – тайны?!

Москва
27 ноября 1910",cvetaeva
"Безупречен и горд
В небо поднятый лоб.
Непонятен мне герб,
И не страшен мне гроб.

Меж вельмож и рабов,
Меж горбов и гербов,
Землю роющих лбов –
Я – из рода дубов.

26 августа 1918",cvetaeva
"Белое солнце и низкие, низкие тучи,
Вдоль огородов – за белой стеною – погост.
И на песке вереницы соломенных чучел
Под перекладинами в человеческий рост.

И, перевесившись через заборные колья,
Вижу: дороги, деревья, солдаты вразброд.
Старая баба – посыпанный крупною солью
Черный ломоть у калитки жует и жует.

Чем прогневили тебя эти серые хаты, –
Господи! – и для чего стольким простреливать грудь?
Поезд прошел и завыл, и завыли солдаты,
И запылил, запылил отступающий путь?

– Нет, умереть! Никогда не родиться бы лучше,
Чем этот жалобный, жалостный, каторжный вой
О чернобровых красавицах. – Ох, и поют же
Нынче солдаты! О Господи Боже ты мой!

3 июля 1916",cvetaeva
"Белье на речке полощу,
Два цветика своих ращу.

Ударит колокол – крещусь,
Посадят голодом – пощусь.

Душа и волосы – как шелк.
Дороже жизни – добрый толк.

Я свято соблюдаю долг.
– Но я люблю вас – вор и волк!

Между 26 мая и 4 июня 1918",cvetaeva
"Бессонница! Друг мой!
Опять твою руку
С протянутым кубком
Встречаю в беззвучно-
Звенящей ночи.

– Прельстись!
Пригубь!
Не в высь,
А в глубь –
Веду?
Губами приголубь!
Голубка! Друг!
Пригубь!
Прельстись!
Испей!
От всех страстей –
Устой,
От всех вестей –
Покой.
– Подруга! –
Удостой.
Раздвинь уста!
Всей негой уст
Резного кубка край
Возьми –
Втяни,
Глотни:
– Не будь! –
О друг! Не обессудь!
Прельстись!
Испей!
Из всех страстей –
Страстнейшая, из всех смертей -
Нежнейшая? Из двух горстей
Моих – прельстись! – испей!

Мир без вести пропал. В нигде –
Затопленные берега?
– Пей, ласточка моя! На дне
Растопленные жемчуга?

Ты море пьешь,
Ты зори пьешь.
С каким любовником кутеж
С моим
– Дитя –
Сравним?

А если спросят (научу!),
Что, дескать, щечки не свежи, –
С Бессонницей кучу, скажи,
С Бессонницей кучу?

Май 1921",cvetaeva
"Бич жандармов, бог студентов,
Желчь мужей, услада жен,
Пушкин – в роли монумента?
Гостя каменного? – он,

Скалозубый, нагловзорый
Пушкин – в роли Командора?

Критик – ноя, нытик – вторя:
«Где же пушкинское (взрыд)
Чувство меры?» Чувство – моря
Позабыли – о гранит

Бьющегося? Тот, солёный
Пушкин – в роли лексикона?

Две ноги свои – погреться –
Вытянувший, и на стол
Вспрыгнувший при Самодержце
Африканский самовол –

Наших прадедов умора-
Пушкин – в роли гувернера?

Черного не перекрасить
В белого – неисправим!
Недурён российский классик,
Небо Африки – своим

Звавший, невское – проклятым!
– Пушкин – в роли русопята?

Ох, брадатые авгуры!
Задал, задал бы вам бал
Тот, кто царскую цензуру
Только с дурой рифмовал,

А «Европы Вестник» – с?
Пушкин – в роли гробокопа?

К пушкинскому юбилею
Тоже речь произнесем:
Всех румяней и смуглее
До сих пор на свете всем,

Всех живучей и живее!
Пушкин – в роли мавзолея?

То-то к пушкинским избушкам
Лепитесь, что сами – хлам!
Как из душа! Как из пушки –
Пушкиным – по соловьям

Слова, соколам полета!
– Пушкин – в роли пулемета!

Уши лопнули от вопля:
«Перед Пушкиным во фрунт!»
А куда девали пекло
Губ, куда девали – бунт

Пушкинский? уст окаянство?
Пушкин – в меру пушкиньянца!

Томики поставив в шкафчик –
Посмешаете ж его,
Беженство свое смешавши
С белым бешенством его!

Белокровье мозга, морга
Синь – с оскалом негра, горло
Кажущим?

Поскакал бы. Всадник Медный,
Он со всех копыт – назад.
Трусоват был Ваня бедный,
Ну, а он – не трусоват.

Сей, глядевший во все страны –
В роли собственной Татьяны?

Что вы делаете, карлы,
Этот – голубей олив –
Самый вольный, самый крайний
Лоб – навеки заклеймив

Низостию двуединой
Золота и середины?

«Пушкин – тога, Пушкин – схима,
Пушкин-мера, Пушкин – грань?»
Пушкин, Пушкин, Пушкин – имя
Благородное – как брань

Площадную – попугаи.

– Пушкин? Очень испугали!

25 июня 1931",cvetaeva
"Благословляю ежедневный труд,
Благословляю еженощный сон.
Господню милость и Господень суд,
Благой закон – и каменный закон.

И пыльный пурпур свой, где столько дыр,
И пыльный посох свой, где все лучи?
– Еще, Господь, благословляю мир
В чужом дому – и хлеб в чужой печи.

21 мая 1918",cvetaeva
"Бог согнулся от заботы
И затих.
Вот и улыбнулся, вот и
Много ангелов святых

С лучезарными телами
Сотворил.
Есть с огромными крылами,
А бывают и без крыл.

Оттого и плачу много,
Оттого –
Что взлюбила больше Бога
Милых ангелов его.

15 августа 1916",cvetaeva
"Бороды – цвета кофейной гущи,
В воздухе – гул голубиных стай.
Черное око, полное грусти,
Пусто, как полдень, кругло, как рай.

Всё провожает: пеструю юбку,
Воз с кукурузой, парус в порту?
Трубка и роза, роза и трубка –
Попеременно – в маленьком рту.

Звякнет – о звонкий кувшин – запястье,
Вздрогнет – на звон кувшина – халат?
Стройные снасти – строки о страсти –
И надо всеми и всем – Аллах.

Что ж, что неласков! что ж, что рассеян!
Много их с розой сидит в руке –
Там на пороге дымных кофеен, –
В синих шальварах, в красном платке.

4 августа 1917",cvetaeva
"Вам сердце рвет тоска, сомненье в лучшем сея.
– «Брось камнем, не щади! Я жду, больней ужаль!»
Нет, ненавистна мне надменность фарисея,
Я грешников люблю, и мне вас только жаль.

Стенами темных слов, растущими во мраке,
Нас, нет, – не разлучить! К замкам найдем ключи
И смело подадим таинственные знаки
Друг другу мы, когда задремлет всe в ночи.

Свободный и один, вдали от тесных рамок,
Вы вновь вернетесь к нам с богатою ладьей,
И из воздушных строк возникнет стройный замок,
И ахнет тот, кто смел поэту быть судьей!

– «Погрешности прощать прекрасно, да, но эту –
Нельзя: культура, честь, порядочность... О нет».
– Пусть это скажут все. Я не судья поэту,
И можно всe простить за плачущий сонет!",cvetaeva
"Были огромные очи:
Очи созвездья Весы,
Разве что Нила короче
Было две черных косы

Ну, а сама меньше можного!
Всё, что имелось длины
В косы ушло – до подножия,
В очи – двойной ширины

Если сама – меньше можного,
Не пожалеть красоты –
Были ей Богом положены
Брови в четыре версты:

Брови – зачесывать за уши
. . . . . . . . . . . . . . . . . .
. . . . . . . . . . . . . За душу
Хату ресницами месть.

Нет, не годится! . . . . . . . .
Страшно от стольких громад!
Нет, воспоем нашу девочку
На уменьшительный лад

За волосочек – по рублику!
Для довершенья всего –
Губки – крушенье Республики
Зубки – крушенье всего?

__________

Жуть, что от всей моей Сонечки
Ну – не осталось ни столечка:
В землю зарыть не смогли –
Сонечку люди – сожгли!

Что же вы с пеплом содеяли?
В урну – такую – ее?
Что же с горы не развеяли
Огненный пепел ее?

30 сентября 1937",cvetaeva
"Быть в аду нам, сестры пылкие,
Пить нам адскую смолу, –
Нам, что каждою-то жилкою
Пели Господу хвалу!

Нам, над люлькой да над прялкою
Не клонившимся в ночи,
Уносимым лодкой валкою
Под полою епанчи.

В тонкие шелка китайские
Разнаряженным с утра,
Заводившим песни райские
У разбойного костра,

Нерадивым рукодельницам
(Шей не шей, а всё по швам!),
Плясовницам и свирельницам,
Всему миру – госпожам!

То едва прикрытым рубищем,
То в созвездиях коса.
По острогам да по гульбищам
Прогулявшим небеса.

Прогулявшим в ночи звездные
В райском яблочном саду?
– Быть нам, девицы любезные,
Сестры милые – в аду!

Ноябрь 1915",cvetaeva
"Над миром вечерних видений
Мы, дети, сегодня цари.
Спускаются длинные тени,
Горят за окном фонари,

Темнеет высокая зала,
Уходят в себя зеркала...
Не медлим! Минута настала!
Уж кто-то идет из угла.

Нас двое над темной роялью
Склонилось, и крадется жуть.
Укутаны маминой шалью,
Бледнеем, не смеем вздохнуть.

Посмотрим, что ныне творится
Под пологом вражеской тьмы?
Темнее, чем прежде, их лица, –
Опять победители мы!

Мы цепи таинственной звенья,
Нам духом в борьбе не упасть,
Последнее близко сраженье,
И темных окончится власть.

Мы старших за то презираем,
Что скучны и просты их дни.
Мы знаем, мы многое знаем
Того, что не знают они!

1908-1910",cvetaeva
"Скомкали фартук холодные ручки,
Вся побледнела, дрожит баловница.
Бабушка будет печальна: у внучки
Вдруг – единица!

Смотрит учитель, как будто не веря
Этим слезам в опустившемся взоре.
Ах, единица большая потеря!
Первое горе!

Слезка за слезкой упали, сверкая,
В белых кругах уплывает страница...
Разве учитель узнает, какая
Боль – единица?",cvetaeva
"Там, где мильоны звезд-лампадок
Горят пред ликом старины,
Где звон вечерний сердцу сладок,
Где башни в небо влюблены;
Там, где в тени воздушных складок
Прозрачно-белы бродят сны –
Я понял смысл былых загадок,
Я стал поверенным луны.

В бреду, с прерывистым дыханьем,
Я всe хотел узнать, до дна:
Каким таинственным страданьям
Царица в небе предана
И почему к столетним зданьям
Так нежно льнет, всегда одна...
Что на земле зовут преданьем, –
Мне всe поведала луна.

В расшитых шeлком покрывалах,
У окон сумрачных дворцов,
Я увидал цариц усталых,
В глазах чьих замер тихий зов.
Я увидал, как в старых сказках,
Мечи, венец и древний герб,
И в чьих-то детских, детских глазках
Тот свет, что льет волшебный серп.

О, сколько глаз из этих окон
Глядели вслед ему с тоской,
И скольких за собой увлек он
Туда, где радость и покой!
Я увидал монахинь бледных,
Земли отверженных детей,
И в их молитвах заповедных
Я уловил пожар страстей.
Я угадал в блужданьи взглядов:
– «Я жить хочу! На что мне Бог?»
И в складках траурных нарядов
К луне идущий, долгий вздох.

Скажи, луна, за что страдали
Они в плену своих светлиц?
Чему в угоду погибали
Рабыни с душами цариц,
Что из глухих опочивален
Рвались в зеленые поля?
– И был луны ответ печален
В стенах угрюмого Кремля.

Осень 1908
Москва",cvetaeva
"Склоняются низко цветущие ветки,
Фонтана в бассейне лепечут струи,
В тенистых аллеях всe детки, всe детки...
О детки в траве, почему не мои?

Как будто на каждой головке коронка
От взоров, детей стерегущих, любя.
И матери каждой, что гладит ребенка,
Мне хочется крикнуть: «Весь мир у тебя!»

Как бабочки девочек платьица пестры,
Здесь ссора, там хохот, там сборы домой...
И шепчутся мамы, как нежные сестры:
– «Подумайте, сын мой»... – «Да что вы! А мой».

Я женщин люблю, что в бою не робели,
Умевших и шпагу держать, и копье, –
Но знаю, что только в плену колыбели
Обычное – женское – счастье мое!",cvetaeva
"В мое окошко дождь стучится.
Скрипит рабочий над станком.
Была я уличной певицей,
А ты был княжеским сынком.

Я пела про судьбу-злодейку,
И с раззолоченных перил
Ты мне не рубль и не копейку, –
Ты мне улыбку подарил.

Но старый князь узнал затею:
Сорвал он с сына ордена
И повелел слуге-лакею
Прогнать девчонку со двора.

И напилась же я в ту ночку!
Зато в блаженном мире – том –
Была я – княжескою дочкой,
А ты был уличным певцом!

24 апреля 1919",cvetaeva
"В огромном городе моем – ночь.
Из дома сонного иду – прочь.
И люди думают: жена, дочь, –
А я запомнила одно: ночь.

Июльский ветер мне метет – путь,
И где-то музыка в окне – чуть.
Ах, нынче ветру до зари – дуть
Сквозь стенки тонкие груди – в грудь.

Есть черный тополь, и в окне – свет,
И звон на башне, и в руке – цвет,
И шаг вот этот – никому – вслед,
И тень вот эта, а меня – нет.

Огни – как нити золотых бус,
Ночного листика во рту – вкус.
Освободите от дневных уз,
Друзья, поймите, что я вам – снюсь.

17 июля 1916
Москва",cvetaeva
"Дома до звезд, а небо ниже,
Земля в чаду ему близка.
В большом и радостном Париже
Все та же тайная тоска.

Шумны вечерние бульвары,
Последний луч зари угас,
Везде, везде всe пары, пары,
Дрожанье губ и дерзость глаз.

Я здесь одна. К стволу каштана
Прильнуть так сладко голове!
И в сердце плачет стих Ростана
Как там, в покинутой Москве.

Париж в ночи мне чужд и жалок,
Дороже сердцу прежний бред!
Иду домой, там грусть фиалок
И чей-то ласковый портрет.

Там чей-то взор печально-братский.
Там нежный профиль на стене.
Rostand и мученик Рейхштадтский
И Сара – все придут во сне!

В большом и радостном Париже
Мне снятся травы, облака,
И дальше смех, и тени ближе,
И боль как прежде глубока.

Париж, июнь 1909",cvetaeva
"«В гробу, в обыкновенном темном
костюме, в устойчивых, грубых
ботинках, подбитых железом,
лежит величайший поэт революции».

«Однодневная газета»
24 апреля 1930 г.

В сапогах, подкованных железом,
В сапогах, в которых гору брал –
Никаким обходом ни объездом
Не доставшийся бы перевал –

Израсходованных до сиянья
За двадцатилетний перегон.
Гору пролетарского Синая,
На котором праводатель – он.

В сапогах – двустопная жилплощадь,
Чтоб не вмешивался жилотдел –
В сапогах, в которых, понаморщась,
Гору нес – и брал – и клял – и пел –

В сапогах и до и без отказу
По невспаханностям Сентября,
В сапогах – почти что водолаза:
Пехотинца, чище ж говоря:

В сапогах великого похода,
На донбассовских, небось, гвоздях.
Гору горя своего народа
Стапятидесяти (Госиздат)

Миллионного? – В котором роде
Своего, когда который год:
«Ничего-де своего в заводе!»
Всех народов горя гору – вот.

Так вот в этих – про его Рольс-Ройсы
Говорок еще не приутих –
Мертвый пионерам крикнул: Стройся!
В сапогах – свидетельствующих.",cvetaeva
"В сиром воздухе загробном
Перелетный рейс?
Сирой проволоки вздроги,
Повороты рельс?

Точно жизнь мою угнали
По стальной версте –
В сиром мороке – две дали?
(Поклонись Москве!)

Точно жизнь мою убили.
Из последних жил
В сиром мороке в две жилы
Истекает жизнь.

28 октября 1922",cvetaeva
"Темнеет... Готовятся к чаю...
Дремлет Ася под маминой шубой.
Я страшную сказку читаю
О старой колдунье беззубой.

О старой колдунье, о гномах,
О принцессе, ушедшей закатом.
Как жутко в лесах незнакомых
Бродить ей с невидящим братом!

Одна у колдуньи забота:
Подвести его к пропасти прямо!
Темнеет... Сегодня суббота,
И будет печальная мама.

Темнеет... Не помнишь о часе.
Из столовой позвали нас к чаю.
Клубочком свернувшейся Асе
Я страшную сказку читаю.",cvetaeva
"«Да, для вас наша жизнь
действительно в тумане».
Разговор 20-го декабря 1909 г.

Ах, вы не братья, нет, не братья!
Пришли из тьмы, ушли в туман...
Для нас безумные объятья
Еще неведомый дурман.

Пока вы рядом – смех и шутки,
Но чуть умолкнули шаги,
Уж ваши речи странно-жутки,
И чует сердце: вы враги.

Сильны во всем, надменны даже,
Меняясь вечно, те, не те –
При ярком свете мы на страже,
Но мы бессильны – в темноте!

Нас вальс и вечер – всe тревожит,
В нас вечно рвется счастья нить...
Неотвратимого не может,
Ничто не сможет отклонить!

Тоска по книге, вешний запах,
Оркестра пение вдали –
И мы со вздохом в темных лапах,
Сожжем, тоскуя, корабли.

Но знайте: в миг, когда без силы
И нас застанет страсти ад,
Мы потому прошепчем: «Милый!»
Что будет розовым закат.",cvetaeva
"Нежен первый вздох весны,
Ночь тепла, тиха и лунна.
Снова слезы, снова сны
В замке сумрачном Шенбрунна.

Чей-то белый силуэт
Над столом поникнул ниже.
Снова вздохи, снова бред:
«Марсельеза! Трон!.. В Париже...»

Буквы ринулись с страниц,
Строчка – полк. Запели трубы...
Капли падают с ресниц,
«Вновь с тобой я!» шепчут губы.

Лампы тусклый полусвет
Меркнет, ночь зато светлее.
Чей там грозный силуэт
Вырос в глубине аллеи?

...Принц австрийский? Это роль!
Герцог? Сон! В Шенбрунне зимы?
Нет, он маленький король!
– «Император, сын любимый!

Мчимся! Цепи далеки,
Мы свободны. Нету плена.
Видишь, милый, огоньки?
Слышишь всплески? Это Сена!»

Как широк отцовский плащ!
Конь летит, огнем объятый.
«Что рокочет там, меж чащ?
Море, что ли?» – «Сын, – солдаты!»

– «О, отец! Как ты горишь!
Погляди, а там направо, –
Это рай?» – «Мой сын – Париж!»
– «А над ним склонилась?» – «Слава».

В ярком блеске Тюилери,
Развеваются знамена.
– «Ты страдал! Теперь цари!
Здравствуй, сын Наполеона!»

Барабаны, звуки струн,
Все в цветах.. Ликуют дети...
Всe спокойно. Спит Шенбрунн.
Кто-то плачет в лунном свете.",cvetaeva
"В гибельном фолианте
Нету соблазна для
Женщины. – Ars Amandi*
Женщине – вся земля.

Сердце – любовных зелий
Зелье – вернее всех.
Женщина с колыбели
Чей-нибудь смертный грех.

Ах, далеко до неба!
Губы – близки во мгле...
– Бог, не суди! – Ты не был
Женщиной на земле!

29 сентября 1915

* Ars Amandi - Искусство любви (лат.).
",cvetaeva
"Ваши белые могилки рядом,
Ту же песнь поют колокола
Двум сердцам, которых жизнь была
В зимний день светло расцветшим садом.

Обо всем сказав другому взглядом,
Каждый ждал. Но вот из-за угла
Пронеслась смертельная стрела,
Роковым напитанная ядом.

Спите ж вы, чья жизнь богатым садом
В зимний день, средь снега, расцвела...
Ту же песнь вам шлют колокола,
Ваши белые могилки – рядом.

Weisser Hirsch
Лето 1910",cvetaeva
"Веселись, душа, пей и ешь!
А настанет срок –
Положите меня промеж
Четырех дорог.

Там где во поле, во пустом
Воронье да волк,
Становись надо мной крестом,
Раздорожный столб!

Не чуралася я в ночи
Окаянных мест.
Высоко надо мной торчи,
Безымянный крест.

Не один из вас, други, мной
Был и сыт и пьян.
С головою меня укрой,
Полевой бурьян!

Не запаливайте свечу
Во церковной мгле.
Вечной памяти не хочу
На родной земле.

4 апреля 1916",cvetaeva
"Чехи подходили к немцам и плевали
(См. мартовские газеты 1939 г.)
